work_year,salary_cleaned,salary_in_usd_cleaned,company_size_lab,salary_currency_encoded,employee_residence_encoded,company_location_encoded,remote_ratio,job_title_encoded,experience_level_EN,experience_level_EX,experience_level_MI,experience_level_SE,employment_type_CT,employment_type_FL,employment_type_FT,employment_type_PT
2022,300000.0,,0,51126126,79926203,79926203,50,62772080,1,0,0,0,0,0,1,0
2023,90000.0,96578.0,0,49064728,71920461,71920461,100,67921766,0,0,1,0,0,0,1,0
2023,185900.0,185900.0,1,51126126,25370322,25370322,0,10004980,0,0,0,1,0,0,1,0
2023,129300.0,129300.0,1,51126126,25370322,25370322,0,10004980,0,0,0,1,0,0,1,0
2023,225000.0,225000.0,1,51126126,25370322,25370322,100,39298127,0,0,0,1,0,0,1,0
2023,175000.0,175000.0,1,51126126,25370322,25370322,100,39298127,0,0,0,1,0,0,1,0
2023,185000.0,185000.0,1,51126126,25370322,25370322,0,39298127,0,0,0,1,0,0,1,0
2023,140000.0,140000.0,1,51126126,25370322,25370322,0,39298127,0,0,0,1,0,0,1,0
2023,45000.0,48289.0,1,49064728,81406157,81406157,0,72608695,0,0,0,1,0,0,1,0
2023,36000.0,38631.0,1,49064728,81406157,81406157,0,72608695,0,0,0,1,0,0,1,0
2023,105000.0,105000.0,1,51126126,25370322,25370322,0,72608695,0,0,0,1,0,0,1,0
2023,70000.0,70000.0,1,51126126,25370322,25370322,0,72608695,0,0,0,1,0,0,1,0
2023,163196.0,163196.0,1,51126126,25370322,25370322,0,67921766,1,0,0,0,0,0,1,0
2023,145885.0,145885.0,1,51126126,25370322,25370322,0,67921766,1,0,0,0,0,0,1,0
2023,217000.0,217000.0,1,51126126,25370322,25370322,100,39298127,0,0,0,1,0,0,1,0
2023,185000.0,185000.0,1,51126126,25370322,25370322,100,39298127,0,0,0,1,0,0,1,0
2023,202800.0,202800.0,0,51126126,25370322,25370322,0,53819113,0,0,0,1,0,0,1,0
2023,104300.0,104300.0,0,51126126,25370322,25370322,0,53819113,0,0,0,1,0,0,1,0
2023,145000.0,145000.0,1,51126126,25370322,25370322,0,53819113,0,0,0,1,0,0,1,0
2023,65000.0,65000.0,1,51126126,25370322,25370322,0,53819113,0,0,0,1,0,0,1,0
2023,165000.0,165000.0,1,51126126,25370322,25370322,0,39298127,0,0,0,1,0,0,1,0
2023,132300.0,132300.0,1,51126126,25370322,25370322,0,39298127,0,0,0,1,0,0,1,0
2023,179170.0,179170.0,1,51126126,25370322,25370322,0,39298127,0,0,0,1,0,0,1,0
2023,94300.0,94300.0,1,51126126,25370322,25370322,0,39298127,0,0,0,1,0,0,1,0
2023,152500.0,152500.0,1,51126126,25370322,25370322,0,14431868,0,0,0,1,0,0,1,0
2023,116450.0,116450.0,1,51126126,25370322,25370322,0,14431868,0,0,0,1,0,0,1,0
2023,247300.0,247300.0,1,51126126,25370322,25370322,0,39298127,0,0,0,1,0,0,1,0
2023,133800.0,133800.0,1,51126126,25370322,25370322,0,39298127,0,0,0,1,0,0,1,0
2023,203000.0,203000.0,1,51126126,25370322,25370322,0,45963291,0,0,0,1,0,0,1,0
2023,133000.0,133000.0,1,51126126,25370322,25370322,0,45963291,0,0,0,1,0,0,1,0
2023,220000.0,220000.0,0,51126126,25370322,25370322,50,81165574,1,0,0,0,0,0,1,0
2022,54000.0,56536.0,2,29051000,21794760,21794760,100,67921766,1,0,0,0,0,0,1,0
2023,150000.0,150000.0,1,51126126,25370322,25370322,0,72608695,0,0,0,1,0,0,1,0
2023,120000.0,120000.0,1,51126126,25370322,25370322,0,72608695,0,0,0,1,0,0,1,0
2023,289800.0,289800.0,1,51126126,25370322,25370322,0,14431868,0,0,0,1,0,0,1,0
2023,214000.0,214000.0,1,51126126,25370322,25370322,0,14431868,0,0,0,1,0,0,1,0
2023,179820.0,179820.0,1,51126126,25370322,25370322,0,14431868,0,0,0,1,0,0,1,0
2023,143860.0,143860.0,1,51126126,25370322,25370322,0,14431868,0,0,0,1,0,0,1,0
2023,283200.0,283200.0,1,51126126,25370322,25370322,100,67921766,0,0,0,1,0,0,1,0
2023,188800.0,188800.0,1,51126126,25370322,25370322,100,67921766,0,0,0,1,0,0,1,0
2023,289800.0,289800.0,1,51126126,25370322,25370322,0,14431868,0,0,0,1,0,0,1,0
2023,214200.0,214200.0,1,51126126,25370322,25370322,0,14431868,0,0,0,1,0,0,1,0
2023,185900.0,185900.0,1,51126126,25370322,25370322,0,39298127,0,0,0,1,0,0,1,0
2023,129300.0,129300.0,1,51126126,25370322,25370322,0,39298127,0,0,0,1,0,0,1,0
2023,252000.0,252000.0,1,51126126,25370322,25370322,0,39298127,0,0,0,1,0,0,1,0
2023,129000.0,129000.0,1,51126126,25370322,25370322,0,39298127,0,0,0,1,0,0,1,0
2023,155000.0,155000.0,1,51126126,25370322,25370322,0,68980661,0,0,1,0,0,0,1,0
2023,140000.0,140000.0,1,51126126,25370322,25370322,0,68980661,0,0,1,0,0,0,1,0
